sample	group	group2	group3	value
sample1	M	A	1	8
sample2	M	A	2	14
sample3	M	A	3	17
sample4	M	A	4	8
sample5	M	A	5	7
sample6	M	A	6	7
sample7	M	A	7	14
sample8	M	A	8	17
sample9	M	A	9	12
sample10	M	A	10	12
sample11	M	B	1	19
sample12	M	B	2	10
sample13	M	B	3	20
sample14	M	B	4	8
sample15	M	B	5	6
sample16	M	B	6	8
sample17	M	B	7	14
sample18	M	B	8	13
sample19	M	B	9	15
sample20	M	B	10	16
sample21	M	C	1	5
sample22	M	C	2	7
sample23	M	C	3	17
sample24	M	C	4	10
sample25	M	C	5	16
sample26	M	C	6	7
sample27	M	C	7	15
sample28	M	C	8	20
sample29	M	C	9	5
sample30	M	C	10	16
sample31	M	D	1	12
sample32	M	D	2	5
sample33	M	D	3	16
sample34	M	D	4	17
sample35	M	D	5	15
sample36	M	D	6	5
sample37	M	D	7	13
sample38	M	D	8	13
sample39	M	D	9	20
sample40	M	D	10	14
sample41	M	E	1	17
sample42	M	E	2	19
sample43	M	E	3	15
sample44	M	E	4	18
sample45	M	E	5	9
sample46	M	E	6	20
sample47	M	E	7	19
sample48	M	E	8	7
sample49	M	E	9	18
sample50	M	E	10	6
NULL	M	NA	11	0
NULL	M	NA	12	0
sample51	N	A	13	12
sample52	N	A	14	15
sample53	N	A	15	18
sample54	N	A	16	11
sample55	N	A	17	9
sample56	N	A	18	13
sample57	N	A	19	5
sample58	N	A	20	20
sample59	N	A	21	7
sample60	N	A	22	10
sample61	N	B	13	13
sample62	N	B	14	19
sample63	N	B	15	18
sample64	N	B	16	18
sample65	N	B	17	7
sample66	N	B	18	11
sample67	N	B	19	14
sample68	N	B	20	18
sample69	N	B	21	8
sample70	N	B	22	7
sample71	N	C	13	11
sample72	N	C	14	5
sample73	N	C	15	14
sample74	N	C	16	12
sample75	N	C	17	8
sample76	N	C	18	7
sample77	N	C	19	17
sample78	N	C	20	19
sample79	N	C	21	18
sample80	N	C	22	20
sample81	N	D	13	19
sample82	N	D	14	13
sample83	N	D	15	8
sample84	N	D	16	17
sample85	N	D	17	19
sample86	N	D	18	7
sample87	N	D	19	14
sample88	N	D	20	16
sample89	N	D	21	5
sample90	N	D	22	10
sample91	N	E	13	17
sample92	N	E	14	5
sample93	N	E	15	15
sample94	N	E	16	8
sample95	N	E	17	12
sample96	N	E	18	14
sample97	N	E	19	14
sample98	N	E	20	12
sample99	N	E	21	9
sample100	N	E	22	7
NULL	N	NA	23	0
NULL	N	NA	24	0
sample101	G	A	25	5
sample102	G	A	26	19
sample103	G	A	27	11
sample104	G	A	28	10
sample105	G	A	29	11
sample106	G	A	30	10
sample107	G	A	31	10
sample108	G	A	32	19
sample109	G	A	33	5
sample110	G	A	34	8
sample111	G	B	25	15
sample112	G	B	26	10
sample113	G	B	27	9
sample114	G	B	28	13
sample115	G	B	29	9
sample116	G	B	30	16
sample117	G	B	31	13
sample118	G	B	32	18
sample119	G	B	33	11
sample120	G	B	34	7
sample121	G	C	25	5
sample122	G	C	26	12
sample123	G	C	27	7
sample124	G	C	28	14
sample125	G	C	29	5
sample126	G	C	30	8
sample127	G	C	31	9
sample128	G	C	32	10
sample129	G	C	33	14
sample130	G	C	34	20
sample131	G	D	25	7
sample132	G	D	26	14
sample133	G	D	27	18
sample134	G	D	28	12
sample135	G	D	29	16
sample136	G	D	30	8
sample137	G	D	31	9
sample138	G	D	32	5
sample139	G	D	33	12
sample140	G	D	34	18
sample141	G	E	25	6
sample142	G	E	26	13
sample143	G	E	27	18
sample144	G	E	28	20
sample145	G	E	29	7
sample146	G	E	30	17
sample147	G	E	31	11
sample148	G	E	32	16
sample149	G	E	33	6
sample150	G	E	34	8
NULL	G	NA	35	0
NULL	G	NA	36	0
sample151	F	A	37	5
sample152	F	A	38	12
sample153	F	A	39	5
sample154	F	A	40	15
sample155	F	A	41	9
sample156	F	A	42	14
sample157	F	A	43	14
sample158	F	A	44	18
sample159	F	A	45	16
sample160	F	A	46	6
sample161	F	B	37	6
sample162	F	B	38	13
sample163	F	B	39	18
sample164	F	B	40	5
sample165	F	B	41	9
sample166	F	B	42	6
sample167	F	B	43	6
sample168	F	B	44	14
sample169	F	B	45	16
sample170	F	B	46	8
sample171	F	C	37	13
sample172	F	C	38	9
sample173	F	C	39	16
sample174	F	C	40	5
sample175	F	C	41	7
sample176	F	C	42	14
sample177	F	C	43	17
sample178	F	C	44	7
sample179	F	C	45	8
sample180	F	C	46	10
sample181	F	D	37	20
sample182	F	D	38	18
sample183	F	D	39	7
sample184	F	D	40	9
sample185	F	D	41	15
sample186	F	D	42	13
sample187	F	D	43	10
sample188	F	D	44	14
sample189	F	D	45	7
sample190	F	D	46	11
sample191	F	E	37	15
sample192	F	E	38	18
sample193	F	E	39	6
sample194	F	E	40	6
sample195	F	E	41	19
sample196	F	E	42	17
sample197	F	E	43	14
sample198	F	E	44	15
sample199	F	E	45	20
sample200	F	E	46	20
NULL	F	NA	47	0
NULL	F	NA	48	0
