id	area	period	mean	ratio	positive
Caicara_Adelaide	Buffer	0	2.6	0.3638	0
Mons_Messias	Buffer	0	2.9	0.3759	0
Carlos_Prates	Buffer	0	8.4	0.3985	0
Alto_Caicaras	Buffer	0	2.7	0.4678	0
Bonfim	Buffer	0	5.1	0.4684	0
Sr_dos_Passos	Buffer	0	1.7	0.6271	0
S_Francisco	Buffer	0	6.2	0.66	0
Cachoeirinha	Buffer	0	8.2	0.7538	0
Pedreira_P_Lopes	Buffer	0	2.4	0.8763	0
Vila_Sumare	Intervention	0	5.3	0.2185	0
Caicaras	Intervention	0	9.323	0.302	0
Nova_Esperanca	Intervention	0	6.3	0.4295	0
Ermelinda	Intervention	0	7.1	0.4539	0
S_Andre	Intervention	0	7.5	0.4552	0
Bom_Jesus	Intervention	0	13.2	0.4702	0
Aparecida	Intervention	0	8.1	0.5222	0
Nova_Cachoeirinha	Intervention	0	3.8	0.6305	0
Aparecida_VII	Intervention	0	3	0.8805	0
S_Bento	Control	0	3.4	0.1953	0
Carmo	Control	0	4.5	0.1964	0
Serra	Control	0	5.7	0.2023	0
Cruzeiro	Control	0	3.9	0.2044	0
Vila_Paris	Control	0	2.8	0.22	0
Comiteco_cluster	Control	0	2.8	0.2357	0
Sion	Control	0	2.3	0.2552	0
Anchieta	Control	0	2.2	0.265	0
Zilah_Sposito	Control	0	6.5	0.2755	0
Funcionarios	Control	0	7.2	0.2772	0
N_S_da_Conceicao	Control	0	6.8	0.3004	0
Luxemburgo	Control	0	3.1	0.3013	0
Jardim_Montanhes	Control	0	7.6	0.3018	0
Boa_Vista	Control	0	14.3	0.3027	0
Floresta	Control	0	7.2	0.3057	0
D_Cabral	Control	0	9.6	0.3079	0
S_Antonio	Control	0	2.7	0.3089	0
S_Lucas	Control	0	14.5	0.3097	0
Jaragua	Control	0	8.2	0.3101	0
Belvedere	Control	0	1.6	0.3106	0
Vila_Barragem_S_Lucia_cluster	Control	0	3.9	0.3118	0
S_Luiz	Control	0	7.8	0.3132	0
S_Pedro	Control	0	5	0.3174	0
Havai	Control	0	5	0.319	0
Sta_Ines	Control	0	11.2	0.3235	0
Apia_cluster	Control	0	5.5	0.3516	0
Sta_Lucia	Control	0	5.1	0.3547	0
Centro	Control	0	4.9	0.3571	0
Ouro_Preto	Control	0	8.3	0.3578	0
Conj_Paulo_VI	Control	0	14.9	0.363	0
Floramar	Control	0	13	0.3637	0
S_Cristovao	Control	0	8.3	0.3648	0
Coracao_Jesus	Control	0	2.5	0.366	0
P_Eustaquio	Control	0	7.1	0.367	0
Beira_Linha	Control	0	1.5	0.3673	0
Vista_do_Sol	Control	0	11.8	0.3682	0
Jardim_Alvorada	Control	0	15.1	0.3684	0
Alipio_Melo	Control	0	11	0.3727	0
Marcola	Control	0	3.9	0.3859	0
Conj_Celso_Machado	Control	0	5.9	0.3871	0
Castelo	Control	0	4.6	0.3896	0
Nova_Vista	Control	0	15.8	0.3923	0
Nova_Floresta	Control	0	6.2	0.3934	0
Liberdade	Control	0	6.7	0.4006	0
Sagrada_Familia	Control	0	6.3	0.4013	0
S_Geraldo	Control	0	13	0.4065	0
Lourdes	Control	0	1.8	0.4067	0
Alto_Vera_Cruz	Control	0	6.9	0.4078	0
Dona_Clara	Control	0	4.8	0.4113	0
Conj_California	Control	0	3.9	0.4133	0
Barro_Preto	Control	0	5.03	0.4153	0
Barroca	Control	0	5.3	0.4181	0
Betania	Control	0	14.7	0.419	0
California	Control	0	11	0.425	0
Nova_Granada	Control	0	6.2	0.4277	0
Joao_Pinheiro	Control	0	9	0.429	0
Paqueta	Control	0	6	0.4317	0
Barreiro	Control	0	11.6	0.4324	0
Oeste	Control	0	5.5	0.4333	0
S_Marcos	Control	0	11.9	0.4339	0
Grajau	Control	0	3.2	0.4366	0
Mariano_Abreu	Control	0	14.8	0.4393	0
Braunas	Control	0	6.3	0.4416	0
Primeiro_Maio	Control	0	14.6	0.4481	0
Paulo_VI	Control	0	14.9	0.4488	0
Graca	Control	0	4.8	0.451	0
Horto	Control	0	16.4	0.4537	0
Manacas	Control	0	6	0.455	0
Vila_J_Alvorada	Control	0	5	0.4552	0
Nazare	Control	0	14.1	0.4577	0
Cidade_Nova	Control	0	3.3	0.4588	0
Santana_Cafezal	Control	0	8.9	0.4601	0
Granja_Freitas	Control	0	15	0.4611	0
S_Agostinho	Control	0	2	0.4615	0
Independencia	Control	0	10.6	0.4658	0
Petropolis	Control	0	14.6	0.4673	0
Colegio_Batista	Control	0	2.3	0.4726	0
Lindeia	Control	0	14.4	0.4788	0
Novo_S_Lucas	Control	0	2.6	0.4792	0
Prado	Control	0	4.5	0.4793	0
Tupi_A	Control	0	11.9	0.4797	0
Bandeirantes	Control	0	4.5	0.48	0
Marajo	Control	0	8.7	0.4808	0
Nova_Suica	Control	0	5.3	0.4811	0
Vila_Cemig	Control	0	11	0.4815	0
Cardoso	Control	0	6.1	0.482	0
Sta_Terezinha	Control	0	12.6	0.4831	0
Alto_Barroca	Control	0	2.6	0.4854	0
Sta_Amelia	Control	0	5.3	0.4892	0
Itapoa	Control	0	3.6	0.4897	0
Serrano	Control	0	9.5	0.4951	0
Gutierrez	Control	0	2.5	0.4976	0
Alto_Pinheiros	Control	0	9.7	0.4987	0
Guarani	Control	0	9.9	0.5	0
N_S_da_Aparecida	Control	0	3.6	0.5019	0
Suzana	Control	0	5.8	0.5028	0
N_S_de_Fatima	Control	0	4.4	0.505	0
Sta_Tereza	Control	0	5.1	0.5063	0
Pilar	Control	0	4.9	0.5165	0
Ventosa	Control	0	3	0.518	0
Minas_Brasil	Control	0	3.7	0.5197	0
D_Bosco	Control	0	9.6	0.5219	0
Uniao	Control	0	6.4	0.5266	0
Coracao_Eucaristico	Control	0	3.8	0.5276	0
Casa_Branca	Control	0	6.3	0.5278	0
Trevo	Control	0	8.6	0.532	0
Jardim_America	Control	0	7.3	0.5342	0
Salgado_Filho	Control	0	8.1	0.5442	0
Palmeiras	Control	0	10	0.5531	0
Mineirao	Control	0	4.6	0.5541	0
Calafate	Control	0	5.03	0.5575	0
Jaqueline	Control	0	6.3	0.5575	0
Buritis	Control	0	1.8	0.56	0
Milionarios	Control	0	4.7	0.5626	0
Tirol	Control	0	14.3	0.5676	0
Brasil_Industrial	Control	0	6.939	0.5705	0
Inconfidencia	Control	0	8.3	0.5776	0
Vila_Cloris	Control	0	5.4	0.5809	0
Lagoinha	Control	0	4.9	0.5865	0
S_Bernardo	Control	0	9.7	0.5899	0
Teixeira_Dias	Control	0	4.6	0.5902	0
Belmonte	Control	0	19.9	0.5915	0
Mangueiras	Control	0	12.6	0.5933	0
Pongelupe	Control	0	1.8	0.595	0
Sta_Rita	Control	0	7.2	0.5963	0
Canaa	Control	0	2.4	0.5996	0
Novo_Tupi	Control	0	8.6	0.6016	0
Penha	Control	0	1.7	0.6018	0
Novo_Aarao_Reis	Control	0	13.9	0.6032	0
Maria_Goretti	Control	0	11.3	0.6041	0
Flavio_M_Lisboa	Control	0	9	0.6043	0
Ipe	Control	0	5.2	0.6054	0
Cenaculo	Control	0	5.8	0.6076	0
Diamante	Control	0	9.4	0.6111	0
Jardim_S_Jose	Control	0	7.3	0.6134	0
Silveira	Control	0	2.2	0.615	0
Cinquentenario	Control	0	3.2	0.6178	0
Piraja	Control	0	11	0.6193	0
Sta_Rosa	Control	0	4.7	0.6217	0
Solar_Barreiro	Control	0	3.4	0.6226	0
Ipiranga	Control	0	6.1	0.6287	0
Bonsucesso	Control	0	9.1	0.6385	0
Estoril	Control	0	3.5	0.6426	0
Monte_Azul	Control	0	8.3	0.644	0
Conj_Jatoba	Control	0	7.9	0.6556	0
Sta_Efigenia	Control	0	7.4	0.6561	0
Vale_Jatoba	Control	0	12.6	0.6595	0
Vera_Cruz	Control	0	30.4	0.663	0
S_Tomaz	Control	0	6	0.6683	0
Araguaia	Control	0	5.2	0.6748	0
Miramar	Control	0	8.5	0.6756	0
Concordia	Control	0	8.1	0.6759	0
Jatoba	Control	0	10.4	0.6798	0
D_Joaquim	Control	0	3.2	0.6831	0
Esplanada	Control	0	8.4	0.6839	0
Sta_Helena	Control	0	6.1	0.6841	0
Conj_J_Filadelfia	Control	0	13.4	0.6898	0
Indaia	Control	0	2.1	0.69	0
Horto_Florestal	Control	0	4.6	0.6922	0
Pompeia	Control	0	12.5	0.6936	0
Planalto	Control	0	5.1	0.6941	0
Mantiqueira	Control	0	8.3	0.7	0
Sta_Margarida	Control	0	6.5	0.7017	0
Jardim_Guanabara	Control	0	7.9	0.7087	0
Minaslandia	Control	0	5.1	0.7108	0
Fernao_Dias	Control	0	8	0.712	0
S_Jorge_cluster	Control	0	3.8	0.7145	0
Acaiaca	Control	0	4.5	0.716	0
Novo_S_Cecilia	Control	0	4.6	0.7163	0
Palmares	Control	0	5.8	0.7164	0
Minas_Caixa	Control	0	5.6	0.7252	0
Fazendinha	Control	0	5	0.7266	0
Campo_Alegre	Control	0	10.9	0.7276	0
